Date,Open,High,Low,Close,Volume,Daily_Return_%,SMA5,SMA10,SMA20,Price_Distance_SMA10,Volatility,Volume_Change_%,Target,Ticker
2022-01-31,4431.7900390625,4516.89013671875,4414.02001953125,4515.5498046875,5098610000,1.8885951732779516,4396.0580078125,4438.095947265625,4573.815454101563,77.453857421875,1.8885951732779516,1.3420551013796134,1,SP500
2022-02-01,4519.56982421875,4550.490234375,4483.52978515625,4546.5400390625,4816830000,0.686300355780145,4434.0759765625,4435.03896484375,4561.314453125,111.50107421874964,0.686300355780145,-5.526604309802085,1,SP500
2022-02-02,4566.39013671875,4595.31005859375,4544.31982421875,4589.3798828125,4481580000,0.942251544733641,4481.96591796875,4440.7009765625,4551.1064453125,148.67890625000018,0.942251544733641,-6.9599715995789735,0,SP500
2022-02-03,4535.41015625,4542.8798828125,4470.39013671875,4477.43994140625,4401970000,-2.4391082077444004,4512.151953125,4440.17197265625,4539.949438476562,37.267968750000364,2.4391082077444004,-1.7763824365513936,1,SP500
2022-02-04,4482.7900390625,4539.66015625,4451.5,4500.52978515625,4706290000,0.5156929864423399,4525.887890625,4450.43095703125,4530.1734375,50.09882812500018,0.5156929864423399,6.9132683775673165,0,SP500
2022-02-07,4505.75,4521.85986328125,4471.47021484375,4483.8701171875,4228480000,-0.37017126347429485,4519.551953125,4457.80498046875,4520.515454101563,26.065136718750182,0.37017126347429485,-10.15258303249481,1,SP500
2022-02-08,4480.02001953125,4531.31982421875,4465.39990234375,4521.5400390625,4459620000,0.8401207191663262,4514.551953125,4474.31396484375,4513.077954101563,47.22607421875,0.8401207191663262,5.466266838201905,1,SP500
2022-02-09,4547.0,4590.02978515625,4547.0,4587.18017578125,4524350000,1.4517207887505545,4514.11201171875,4498.03896484375,4506.783471679688,89.14121093749964,1.4517207887505545,1.4514689592386887,0,SP500
2022-02-10,4553.240234375,4588.919921875,4484.31005859375,4504.080078125,5314860000,-1.811572566845976,4519.4400390625,4515.79599609375,4495.669970703125,-11.715917968749636,1.811572566845976,17.472344093626702,0,SP500
2022-02-11,4506.27001953125,4526.330078125,4401.41015625,4418.64013671875,5251500000,-1.896945434456343,4503.062109375,4514.475,4483.65048828125,-95.83486328125036,1.896945434456343,-1.1921292376468995,0,SP500
2022-02-14,4412.60986328125,4426.22021484375,4364.83984375,4401.669921875,4600390000,-0.38405967262932217,4486.6220703125,4503.08701171875,4470.591479492187,-101.41708984374964,0.38405967262932217,-12.398552794439688,1,SP500
2022-02-15,4429.27978515625,4472.77001953125,4429.27978515625,4471.06982421875,4430830000,1.5766721170720421,4476.52802734375,4495.539990234375,4465.289477539062,-24.470166015625182,1.5766721170720421,-3.685774466947367,1,SP500
2022-02-16,4455.75,4489.5498046875,4429.68017578125,4475.009765625,4283640000,0.08812077558950637,4454.0939453125,4484.102978515625,4462.4019775390625,-9.093212890625182,0.08812077558950637,-3.3219509662975155,0,SP500
2022-02-17,4456.06005859375,4456.06005859375,4373.81005859375,4380.259765625,4539420000,-2.1173138152195015,4429.3298828125,4474.3849609375,4457.278466796875,-94.12519531250018,2.1173138152195015,5.971090007563662,0,SP500
2022-02-18,4384.56982421875,4394.60009765625,4327.22021484375,4348.8701171875,4708060000,-0.71661613961429,4415.37587890625,4459.218994140625,4454.824975585938,-110.348876953125,0.71661613961429,3.715012049997579,0,SP500
2022-02-22,4332.740234375,4362.1201171875,4267.10986328125,4304.759765625,5121900000,-1.0142945264832837,4395.99384765625,4441.307958984375,4449.556469726563,-136.54819335937464,1.0142945264832837,8.790032412501114,0,SP500
2022-02-23,4324.93017578125,4341.509765625,4221.509765625,4225.5,4797430000,-1.8412122845487655,4346.8798828125,4411.703955078125,4443.008959960937,-186.20395507812464,1.8412122845487655,-6.334953825728729,1,SP500
2022-02-24,4155.77001953125,4294.72998046875,4114.64990234375,4288.7001953125,6752130000,1.4956856067329216,4309.61796875,4381.85595703125,4439.9474609375,-93.15576171875,1.4956856067329216,40.74473207529865,1,SP500
2022-02-25,4298.3798828125,4385.33984375,4286.830078125,4384.64990234375,5177060000,2.237267765560347,4310.49599609375,4369.912939453125,4442.854467773437,14.736962890625364,2.237267765560347,-23.327009402958765,0,SP500
2022-02-28,4354.169921875,4388.83984375,4315.1201171875,4373.93994140625,6071370000,-0.24426034406476171,4315.5099609375,4365.442919921875,4439.958959960937,8.497021484375182,0.24426034406476171,17.274476247136406,0,SP500
2022-03-01,4363.14013671875,4378.4501953125,4279.5400390625,4306.259765625,5846230000,-1.5473503680411893,4315.8099609375,4355.901904296875,4429.494458007813,-49.64213867187482,1.5473503680411893,-3.7082240087492613,1,SP500
2022-03-02,4322.56005859375,4401.47998046875,4322.56005859375,4386.5400390625,5337870000,1.8642691757321028,4348.01796875,4347.44892578125,4421.494458007813,39.09111328124982,1.8642691757321028,-8.695518308379935,0,SP500
2022-03-03,4401.31005859375,4416.77978515625,4345.56005859375,4363.490234375,5039890000,-0.5254666430088317,4362.9759765625,4336.29697265625,4410.199975585938,27.193261718750364,0.5254666430088317,-5.582376490997342,0,SP500
2022-03-04,4342.1201171875,4342.1201171875,4284.97998046875,4328.8701171875,5797380000,-0.7934042550334475,4351.82001953125,4331.1580078125,4402.771484375,-2.287890624999818,0.7934042550334475,15.029891525410278,0,SP500
2022-03-07,4327.009765625,4327.009765625,4199.85009765625,4201.08984375,6940470000,-2.951815831344917,4317.25,4316.37998046875,4387.799487304687,-115.29013671874964,2.951815831344917,19.71735508108836,0,SP500
2022-03-08,4202.66015625,4276.93994140625,4157.8701171875,4170.7001953125,7243120000,-0.723375351819977,4290.1380859375,4302.9740234375,4372.1409912109375,-132.27382812500036,0.723375351819977,4.360655690464776,1,SP500
2022-03-09,4223.10009765625,4299.39990234375,4223.10009765625,4277.8798828125,5662670000,2.569824789143582,4268.4060546875,4308.21201171875,4359.957983398437,-30.332128906249636,2.569824789143582,-21.820016788345352,0,SP500
