Date,Open,High,Low,Close,Volume,Daily_Return_%,SMA5,SMA10,SMA20,Price_Distance_SMA10,Volatility,Volume_Change_%,Target,Ticker
2022-01-31,133.24301799963737,134.54504250233154,131.3038928647385,134.37669372558594,39986000,1.464174659415951,129.8697723388672,131.03672485351564,135.03062591552734,3.339968872070301,1.464174659415951,16.366916943134857,1,GOOGL
2022-02-01,136.65199616866573,136.8491380497125,133.44809584204324,136.70115661621094,68644000,1.7298110454866844,131.9969024658203,131.2001968383789,134.66576766967773,5.500959777832037,1.7298110454866844,71.67008452958537,1,GOOGL
2022-02-02,150.2139748753728,150.50843749823036,144.5257135029297,146.98623657226562,123200000,7.52376952078766,135.72459716796874,132.47972412109374,134.8445602416992,14.506512451171886,7.52376952078766,79.47672047083503,0,GOOGL
2022-02-03,144.70744115071966,148.64974827603828,141.68825627852442,142.10984802246094,71518000,-3.3175817433812704,138.52230224609374,133.4512725830078,135.10848999023438,8.65857543945313,3.3175817433812704,-41.949675324675326,1,GOOGL
2022-02-04,142.46192913434274,143.88262665253944,139.5524914323561,142.31146240234375,57998000,0.14187220849812832,140.49707946777343,134.73655853271484,135.38386611938478,7.574903869628912,0.14187220849812832,-18.904331776615678,0,GOOGL
2022-02-07,143.26190864808652,143.26190864808652,137.94854930203064,138.24749755859375,54974000,-2.8556834250359486,141.271240234375,135.57050628662108,135.49231872558593,2.6769912719726676,2.8556834250359486,-5.213972895617092,1,GOOGL
2022-02-08,138.0741915730561,139.04101874272152,136.07547995948318,138.4441375732422,54284000,0.14223766659147152,141.61983642578124,136.8083694458008,135.52854385375977,1.6357681274413949,0.14223766659147152,-1.2551387928839142,1,GOOGL
2022-02-09,139.99791170532907,141.54822358083172,139.22672618566713,140.62210083007812,40144000,1.5731711685398775,140.34700927734374,138.03580322265626,135.6207077026367,2.5862976074218693,1.5731711685398775,-26.048190995505117,0,GOOGL
2022-02-10,138.74656067127663,140.51535178227655,137.0120182079764,137.67047119140625,39330000,-2.0989799051846725,139.45913391113282,138.99071807861327,135.48114624023438,-1.3202468872070199,2.0989799051846725,-2.0277002789956144,0,GOOGL
2022-02-11,137.65063252628258,138.2033087667454,132.48623903478702,133.36270141601562,39958000,-3.129044113898205,137.66938171386718,139.0832305908203,135.26739578247071,-5.720529174804682,3.129044113898205,1.5967454869056708,1,GOOGL
2022-02-14,132.34373146379744,135.36638715070688,132.34373146379744,134.59768676757812,34302000,0.9260350446187005,136.93941955566407,139.10532989501954,135.07102737426757,-4.507643127441412,0.9260350446187005,-14.154862605736017,1,GOOGL
2022-02-15,136.62817626062764,137.16250068888525,134.89116345210377,135.6727752685547,26680000,0.7987421825703445,136.38514709472656,139.00249176025392,135.1013442993164,-3.32971649169923,0.7987421825703445,-22.22027870095038,1,GOOGL
2022-02-16,135.7104796838737,137.1401181080741,133.99977506378778,136.7945098876953,25022000,0.82679418691054,135.61962890625,137.9833190917969,135.2315216064453,-1.1888092041015739,0.82679418691054,-6.2143928035982015,0,GOOGL
2022-02-17,135.30975711120635,136.17429301504373,131.571047355808,131.63113403320312,38950000,-3.774549036164665,134.41176147460936,136.9354476928711,135.19336013793946,-5.304313659667969,3.774549036164665,55.663016545440016,0,GOOGL
2022-02-18,132.55277323596871,133.15165480974724,129.3046828967441,129.509765625,45620000,-1.6116007992972414,133.64117431640625,135.65527801513673,135.19591827392577,-6.14551239013673,1.6116007992972414,17.124518613607197,0,GOOGL
2022-02-22,128.94863900976236,131.2750922471518,127.34519599889911,128.92431640625,44990000,-0.45205024958904216,132.50650024414062,134.72295989990235,135.14673309326173,-5.798643493652349,0.45205024958904216,-1.3809732573432654,0,GOOGL
2022-02-23,130.74672218976002,131.146461476255,126.6539483607794,126.71403503417967,32786000,-1.7144022428674854,130.71475219726562,133.5499496459961,135.17915954589844,-6.8359146118164205,1.7144022428674854,-27.126028006223603,1,GOOGL
2022-02-24,124.09759400552932,132.08897834726324,124.09759400552932,131.78208923339844,54456000,3.999599726937686,129.71226806640624,132.66594848632812,135.3508758544922,-0.8838592529296818,3.999599726937686,66.09528457268345,1,GOOGL
